ticker,alpha,z_alpha,dollar_volume,passes_signal
MVST,-0.02017113208689129,-3.689353790407586,74826.04080432,False
SMX,-0.01959993808764554,-3.567752377633677,214464.81431024996,False
CREG,-0.01899387969140361,-3.43872868812744,8280.3318,False
MNST,-0.018637363016604208,-3.3628299017425864,3436539.31324886,True
OCG,-0.018536768618087437,-3.3414143739307858,1975.035,False
ELPW,-0.017322043576840827,-3.08281172519413,54604.1,False
XOS,-0.01593951899336956,-2.788486254746677,41559.24,False
OKTA,-0.0156465195583896,-2.726109644903842,1650288.148568175,True
NTCL,-0.015014626403713469,-2.591585997190027,44.37,False
BIYA,-0.014508665211304823,-2.4838719877870803,4138.00885,False
KLIC,-0.013853954941780208,-2.344490807598022,175721.62235904,False
MEHA,-0.01370936737357691,-2.3137095798780503,21520.296,False
ODYS,-0.013533482221113505,-2.2762654137037783,25100.145618879997,False
CSGP,-0.013256652797944584,-2.217331235475053,2582073.606922635,True
SIBN,-0.0126881462792137,-2.0963019600622523,886915.454353175,False
PLBY,-0.01225038301539222,-2.0031065983961596,47118.948181585,False
MRNO,-0.01220946835054742,-1.994396280964834,350.3197,False
TAOX,-0.011745592029979567,-1.8956417142013529,714.0,False
RELY,-0.011624758091924849,-1.8699173935714244,1777542.75,True
INBX,-0.011417833347666537,-1.8258652129236634,733274.71498852,False
PSIX,-0.011068731473023131,-1.7515449623350463,1233448.02381555,True
LENZ,-0.01104392449926602,-1.7462638090675164,204780.90544379997,False
TIGO,-0.01093672112388881,-1.723441297071217,1558832.065182,True
SITM,-0.010854757158563448,-1.7059919996463895,2888346.45991286,True
BWEN,-0.010854283077625381,-1.7058910726199952,1291926.4768291414,True
HNRG,-0.010853971828108076,-1.7058248107526093,2715451.13340229,True
TDIC,-0.010848430072104015,-1.704645027071002,1079698.9939311394,True
CODX,-0.010844981811936473,-1.703910927433158,5340.6,False
BTOC,-0.010512766221095366,-1.6331855955054022,3299.9788,False
AMTX,-0.01027822069133081,-1.5832532295897297,23741.73,False
FLWS,-0.010092748636852108,-1.5437681091499642,69679.82,False
FLNC,-0.01002157557372698,-1.528616085426167,3396512.7030137093,True
PDSB,-0.009887239750377821,-1.500017350273181,13604.625,False
WOK,-0.009851258253890457,-1.4923572543821866,2280938.98851,False
PSTV,-0.009834762315551623,-1.4888454363139256,589.0,False
PENG,-0.009793722895396333,-1.4801085597415262,1135047.67511196,False
CDW,-0.009754926430812548,-1.471849185675533,4666766.805956251,False
TDUP,-0.009628633352911146,-1.4449626695064992,22888.3005,False
AIRS,-0.009551191605742377,-1.4284761064896656,213499.11555000002,False
ALGM,-0.009538913659502855,-1.4258622561854615,1800593.1274674002,False
NOTV,-0.009252612217455103,-1.3649115811465318,131.8495,False
MBAI,-0.009193850489487336,-1.3524018048755064,5064.4864,False
ETOR,-0.009190553646156363,-1.3516999403473953,1122011.2647184,False
SSP,-0.009156749560736067,-1.3445033932021768,17269.875,False
HON,-0.009114748469884425,-1.3355617866860907,4390207.0403950205,False
HBAN,-0.009095797379329978,-1.331527291596734,4140570.101792835,False
BEAM,-0.009062468999726816,-1.3244320173981932,104250.98146536,False
KMB,-0.009021250767764728,-1.3156570736045765,3907048.2710615993,False
BZFD,-0.008954925397856184,-1.3015370746300055,2040747.545677702,False
LIMN,-0.008943182831447108,-1.299037201265053,936.5957999999999,False
SBUX,-0.008917023894436573,-1.293468228724471,5986632.007254541,False
NDAQ,-0.008884680467625245,-1.2865826409917558,2861082.7995547,False
ARRY,-0.008870531588961256,-1.283570488138295,297331.48119444,False
FLEX,-0.008820798442378893,-1.2729828053298395,7007598.318557099,False
DFTX,-0.0088081703248217,-1.2702944071014661,45014.4061413,False
KOD,-0.008803775639237276,-1.2693588230854072,120930.73650000001,False
WSC,-0.008795984115089448,-1.2677000865698118,987793.2274422002,False
CHRN,-0.008739705014444252,-1.2557188364916636,26080.643087919998,False
LIN,-0.008642716495436499,-1.2350709638778659,3599506.4163619997,False
AMSC,-0.00864079506598383,-1.2346619110231465,908579.1064164899,False
TMUS,-0.008567543187667854,-1.2190673286162454,4986741.52672896,False
CDLX,-0.008515309250404264,-1.2079472528199597,104521.35297645,False
CYTK,-0.008505082129854931,-1.205770002517873,1219886.2,False
ELVA,-0.008463126506366167,-1.1968380755424832,13285.083804150001,False
GSAT,-0.008415662956333282,-1.1867335668346093,238505.35210999998,False
HROW,-0.008406539925221874,-1.1847913659827227,972200.2093898832,False
OMEX,-0.00840337127310361,-1.1841167920644415,16633.001315715,False
