signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity,transaction_cost_existing_half_turnover,transaction_cost_full_traded_notional,portfolio_return_full_cost,equity_full_cost,cumulative_return_full_cost
2024-01-02,2024-01-03,-0.0014474908011429,-0.0014174908011429,3e-05,0.0,0.1,0.2,0.0,0.1,-0.1,94,94,1.0,1.0,1.0,1.0,,,0.0,0.998552509198857,-0.001447490801143,0.998552509198857,3e-05,6.000000000000001e-05,-0.0014774908011429,0.9985225091988571,-0.0014774908011429
2024-01-03,2024-01-04,0.0020900353878798,0.0021200353878798,3e-05,0.0,0.1,0.3534201688813601,0.0008385555204905,0.1771293622009253,-0.1762908066804348,128,124,1.0,1.0,1.0,1.0,,,0.0,1.0006395192797388,0.0006395192797388,1.0006395192797388,3e-05,6.000000000000001e-05,0.0020600353878798,1.0005795009034013,0.0005795009034013088
2024-01-04,2024-01-05,-0.0029075880571532,-0.0028775880571532,3e-05,0.0,0.1,0.4928742654676082,0.0016220107794469,0.2472481381235276,-0.2456261273440806,154,144,1.0,1.0,1.0,1.0,0.0397086329881908,0.0012706144916918,-0.0029075880571531,0.9977300717639656,-0.0022699282360344,1.0006395192797388,3e-05,6.000000000000001e-05,-0.0029375880571532002,0.9976402105113152,-0.0023597894886847604
2024-01-05,2024-01-08,0.010439365356205,0.010469365356205,3e-05,0.0,0.1,0.5924781715880296,0.0039612710402059,0.2982197213141179,-0.2942584502739119,179,160,1.0,1.0,1.0,1.0,0.0407937869852966,0.0027615783315521,0.0,1.0081457405099823,0.0081457405099822,1.0081457405099823,3e-05,6.000000000000001e-05,0.010409365356205002,1.0080250119565688,0.008025011956568795
2024-01-08,2024-01-09,0.0006881884146964,0.0007181884146964,2.9999999999999997e-05,0.0,0.0999999999999999,0.6793862104154949,0.0027385228791267,0.3410623666473108,-0.338323843768184,195,178,1.0,1.0,1.0,1.0,0.094890530965007,0.0026885734687516,0.0,1.008839534728927,0.0088395347289269,1.008839534728927,2.9999999999999997e-05,5.999999999999994e-05,0.0006581884146964,1.0086884823411628,0.008688482341162818
2024-01-09,2024-01-10,-0.0077071064855865,-0.0076771064855865,3e-05,0.0,0.1,0.7370879997284179,0.0078374012705962,0.372462700499507,-0.3646252992289108,218,198,1.0,1.0,1.0,1.0,0.0827390407639699,0.0026155686059511,-0.0077071064855865,1.0010643010079014,0.0010643010079014,1.008839534728927,3e-05,6.000000000000001e-05,-0.0077371064855865,1.0008841521425047,0.0008841521425047016
2024-01-10,2024-01-11,0.0040488162778045,0.0040788162778045,2.999999999999999e-05,0.0,0.0999999999999999,0.7914863111949438,0.0028731743915258,0.3971797427932348,-0.3943065684017089,231,215,1.0,1.0,1.0,1.0,0.0961813088742725,0.0065072268784782,-0.0036894948659758,1.0051174264449512,0.0051174264449511,1.008839534728927,2.999999999999999e-05,5.999999999999994e-05,0.0040188162778045,1.0049065216653317,0.004906521665331676
2024-01-11,2024-01-12,0.0005600173334394,0.0005900173334394,3.0000000000000008e-05,0.0,0.1,0.8270906121117225,0.0051979992311806,0.4161443056714516,-0.4109463064402708,247,226,1.0,1.0,1.0,1.0,0.0907985706700362,0.0062672509570565,-0.0031315437136129,1.0056803096259024,0.0056803096259023,1.008839534728927,3.0000000000000008e-05,6.000000000000001e-05,0.0005300173334393999,1.0054391395403006,0.005439139540300619
2024-01-12,2024-01-16,-0.0016967381564808,-0.0016667381564808,3e-05,0.0,0.1,0.8590474936623167,0.0093206528213644,0.4341840732418405,-0.4248634204204761,261,248,1.0,1.0,1.0,1.0,0.0840694463843756,0.0060272750356348,-0.0048229684603862,1.003973933471339,0.0039739334713386,1.008839534728927,3e-05,6.000000000000001e-05,-0.0017267381564808,1.0037030094140371,0.0037030094140371173
2024-01-16,2024-01-17,0.0068496920043422,0.0068796920043422,3e-05,0.0,0.1,0.8647014734073591,0.0042665504145122,0.4344840119109357,-0.4302174614964235,269,277,1.0,1.0,1.0,1.0,0.0796732199953723,0.0057872991142132,0.0,1.0108508456960057,0.0108508456960054,1.0108508456960057,3e-05,6.000000000000001e-05,0.0068196920043422,1.0105479548020722,0.010547954802072157
