signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity,transaction_cost_existing_half_turnover,transaction_cost_full_traded_notional,portfolio_return_full_cost,equity_full_cost,cumulative_return_full_cost
2024-01-02,2024-01-03,-0.0072374540057149,-0.0070874540057149,0.00015,0.0,0.5,1.0,0.0,0.4999999999999999,-0.5,94,94,1.0,1.0,1.0,1.0,,,0.0,0.992762545994285,-0.0072374540057149,0.992762545994285,0.00015,0.0003,-0.0073874540057149,0.9926125459942851,-0.007387454005714944
2024-01-03,2024-01-04,0.007160460042853,0.0073040770641296,0.0001436170212765,0.0,0.4787234042553191,1.0,-5.204170427930421e-18,0.5,-0.5,82,82,1.0,1.0,1.0,1.0,,,0.0,0.999871182536918,-0.0001288174630819,0.999871182536918,0.0001436170212765,0.0002872340425531915,0.007016843021576408,0.9995775524107743,-0.00042244758922571624
2024-01-04,2024-01-05,-0.006953911644278,-0.0068422837373013,0.0001116279069767,0.0,0.3720930232558139,1.0,0.0,0.5,-0.5,86,86,1.0,1.0,1.0,1.0,0.161616184361882,0.0065175583032865,-0.006953911644278,0.9929181666778966,-0.0070818333221034,0.999871182536918,0.0001116279069767,0.00022325581395348833,-0.007065539551254788,0.9925149976796696,-0.007485002320330447
2024-01-05,2024-01-08,0.0184010610492316,0.0185109447701619,0.0001098837209302,0.0,0.3662790697674418,1.0,3.469446951953614e-18,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.1306790884587624,0.0072090997695712,0.0,1.0111889144798278,0.0111889144798278,1.0111889144798278,0.0001098837209302,0.00021976744186046507,0.018291177328301437,1.010669265503227,0.010669265503226999
2024-01-08,2024-01-09,-0.0038087928516378,-0.0036863790585343,0.0001224137931034,0.0,0.4080459770114942,1.0,0.0,0.5,-0.5,87,87,1.0,1.0,1.0,1.0,0.1962046263359289,0.0071949226514994,-0.0038087928516378,1.0073375053707017,0.0073375053707016,1.0111889144798278,0.0001224137931034,0.00024482758620689653,-0.003931206644741197,1.006696115771045,0.006696115771045008
2024-01-09,2024-01-10,-0.0133124518546073,-0.0131850324997686,0.0001274193548387,0.0,0.4247311827956989,1.0,0.0,0.5,-0.5,93,93,1.0,1.0,1.0,1.0,0.1763573029658651,0.0071807455334275,-0.0170705403347836,0.993927373329114,-0.0060726266708861,1.0111889144798278,0.0001274193548387,0.00025483870967741933,-0.01343987120944602,0.9931662496280326,-0.006833750371967429
2024-01-10,2024-01-11,-0.0005167866134645,-0.0004111743685666,0.0001056122448979,0.0,0.3520408163265306,0.9999999999999998,0.0,0.5,-0.5,98,98,1.0,1.0,1.0,1.0,0.1846942383021921,0.0117937023923842,-0.0175785051215184,0.9934137249678214,-0.0065862750321785,1.0111889144798278,0.0001056122448979,0.00021122448979591838,-0.0006223988583625184,0.9925481040880998,-0.007451895911900208
2024-01-11,2024-01-12,0.0059090879155243,0.0060269450583815,0.0001178571428571,0.0,0.3928571428571428,1.0,0.0,0.5,-0.5,89,89,1.0,1.0,1.0,1.0,0.1686228311269983,0.0114899524999396,-0.0117732901381807,0.9992838940051448,-0.0007161059948551,1.0111889144798278,0.0001178571428571,0.00023571428571428569,0.005791230772667215,0.9982961792118474,-0.0017038207881525658
2024-01-12,2024-01-16,0.0004006023732609,0.0005212209299619,0.000120618556701,0.0,0.4020618556701031,1.0,8.673617379884035e-19,0.5,-0.5,97,97,1.0,1.0,1.0,1.0,0.1607177518835011,0.011186202607495,-0.0113774041728901,0.9996842095046448,-0.0003157904953552,1.0111889144798278,0.000120618556701,0.00024123711340206188,0.0002799838165598381,0.9985756859861603,-0.0014243140138396893
2024-01-16,2024-01-17,0.0049083210833073,0.0050598674750599,0.0001515463917525,0.0,0.5051546391752577,1.0,0.0,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.1503561679496763,0.0108824527150503,-0.0065249270423579,1.0045909805868058,0.0045909805868058,1.0111889144798278,0.0001515463917525,0.0003030927835051546,0.004756774691554746,1.003325685536861,0.0033256855368610783
2024-01-17,2024-01-18,0.0093807500970572,0.0095126778079006,0.0001319277108433,0.0,0.4397590361445783,1.0,0.0,0.5,-0.5,82,82,1.0,1.0,1.0,1.0,0.1438785974636059,0.0105787028226057,0.0,1.0140147975254483,0.0140147975254483,1.0140147975254483,0.0001319277108433,0.000263855421686747,0.009248822386213853,1.012605266597918,0.012605266597917941
2024-01-18,2024-01-19,0.0050009076400587,0.0051454198351807,0.0001445121951219,0.0,0.4817073170731707,1.0,0.0,0.4999999999999999,-0.5,81,81,1.0,1.0,1.0,1.0,0.1429676995072992,0.0102749529301611,0.0,1.019085791873526,0.0190857918735261,1.019085791873526,0.0001445121951219,0.00028902439024390244,0.004856395444936797,1.017522878202143,0.017522878202143044
2024-01-19,2024-01-22,-0.0064075305559963,-0.0063057448417105,0.0001017857142857,0.0,0.3392857142857142,1.0,0.0,0.4999999999999999,-0.5,84,84,1.0,1.0,1.0,1.0,0.1373637419928696,0.0099712030377165,-0.0064075305559962,1.0125559685229149,0.0125559685229148,1.019085791873526,0.0001017857142857,0.0002035714285714285,-0.006509316270281929,1.0108994999756777,0.01089949997567774
2024-01-22,2024-01-23,0.0001381755864452,0.0002431755864452,0.0001049999999999,0.0,0.35,1.0,-1.3877787807814457e-17,0.5,-0.5,90,90,1.0,1.0,1.0,1.0,0.1361718099339934,0.0096674531452719,-0.0062702403338432,1.012695879037674,0.0126958790376741,1.019085791873526,0.0001049999999999,0.00020999999999999995,3.317558644520005e-05,1.0109330371594265,0.010933037159426506
2024-01-23,2024-01-24,0.0093624006311425,0.0094607339644758,9.833333333333334e-05,0.0,0.3277777777777778,1.0,6.938893903907228e-18,0.5,-0.5,80,80,1.0,1.0,1.0,1.0,0.1308800394541248,0.0093637032528272,0.0,1.022177143574732,0.0221771435747319,1.022177143574732,9.833333333333334e-05,0.00019666666666666669,0.009264067297809134,1.0202983888492498,0.020298388849249838
2024-01-24,2024-01-25,-0.0067961865049659,-0.0066859455411105,0.0001102409638554,0.0,0.3674698795180723,1.0,0.0,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.1307660301874947,0.0090599533603826,-0.0067961865049659,1.0152302370658848,0.0152302370658847,1.022177143574732,0.0001102409638554,0.00022048192771084336,-0.006906427468821343,1.0132517720301073,0.0132517720301073
2024-01-25,2024-01-26,0.0065397687176443,0.0066518376831616,0.0001120689655172,0.0,0.3735632183908046,1.0,0.0,0.5,-0.5,87,87,1.0,1.0,1.0,1.0,0.1305468599302021,0.008756203467938,-0.0003008632752258,1.021869608011455,0.0218696080114551,1.022177143574732,0.0001120689655172,0.00022413793103448273,0.006427699752127117,1.0197646501940276,0.019764650194027622
2024-01-26,2024-01-29,0.0030566702348738,0.0031877047176324,0.0001310344827586,0.0,0.4367816091954023,1.0,-3.469446951953614e-18,0.5,-0.5,79,79,1.0,1.0,1.0,1.0,0.1282032259354043,0.0084524535754934,0.0,1.0249931264261858,0.0249931264261857,1.0249931264261858,0.0001310344827586,0.00026206896551724137,0.0029256357521151586,1.0227481101133786,0.022748110113378628
2024-01-29,2024-01-30,0.0023560121015218,0.0025094211924309,0.000153409090909,0.0,0.5113636363636364,1.0,-3.469446951953614e-18,0.5,-0.5,88,88,1.0,1.0,1.0,1.0,0.1245481609142352,0.0081487036830487,0.0,1.0274080226360225,0.0274080226360224,1.0274080226360225,0.000153409090909,0.0003068181818181818,0.002202603010612718,1.025000818179813,0.025000818179812923
