ticker,active_position_days,name,active,delisted_utc
MULN,304,"Mullen Automotive, Inc. Common Stock",False,2025-07-28T00:00:00Z
ATXS,192,"Astria Therapeutics, Inc. Common Stock",False,2026-01-26T00:00:00Z
TERN,190,"Terns Pharmaceuticals, Inc. Common Stock",False,2026-05-06T00:00:00Z
LAZR,182,"Luminar Technologies, Inc. Class A Common Stock",False,2025-12-24T00:00:00Z
FTEL,173,Fitell Corporation Class A Ordinary Shares,False,2026-03-12T00:00:00Z
RAPT,172,"RAPT Therapeutics, Inc. Common Stock",False,2026-03-04T00:00:00Z
MAXN,170,"Maxeon Solar Technologies, Ltd. Ordinary Shares",False,2026-05-01T00:00:00Z
GOEV,147,Canoo Inc. Class A Common Stock,False,2025-01-29T00:00:00Z
ETNB,145,"89bio, Inc. Common Stock",False,2025-10-31T00:00:00Z
NUKK,142,Nukkleus Inc. Common Stock,False,2026-02-09T00:00:00Z
SMLR,141,"Semler Scientific, Inc.",False,2026-01-20T00:00:00Z
ZIMV,122,ZimVie Inc. Common Stock,False,2025-10-21T00:00:00Z
LBPH,120,"Longboard Pharmaceuticals, Inc. Common Stock",False,2024-12-03T00:00:00Z
CRKN,114,Crown Electrokinetics Corp. Common Stock,False,2025-03-05T00:00:00Z
IRBT,109,iRobot Corporation,False,2025-12-22T00:00:00Z
CDTX,109,"Cidara Therapeutics, Inc.",False,2026-01-08T00:00:00Z
FFIE,108,Faraday Future Intelligent Electric Inc. Common Stock,False,
HSII,108,Heidrick & Struggles Inc,False,2025-12-11T00:00:00Z
BLUE,107,"bluebird bio, Inc. Common Stock",False,2025-06-03T00:00:00Z
TRML,106,"Tourmaline Bio, Inc. Common Stock",False,2025-10-29T00:00:00Z
MRSN,105,"Mersana Therapeutics, Inc. Common Stock",False,2026-01-07T00:00:00Z
MODV,105,ModivCare Inc. Common Stock,False,2025-08-28T00:00:00Z
ATSG,101,"Air Transport Services Group, Inc.",False,2025-04-14T00:00:00Z
VLCN,98,"Volcon, Inc. Common stock",False,2025-07-31T00:00:00Z
SAVA,97,"Cassava Sciences, Inc.",False,2026-03-11T00:00:00Z
SWTX,96,"SpringWorks Therapeutics, Inc. Common Stock",False,2025-07-02T00:00:00Z
SYTA,96,"Siyata Mobile, Inc.",False,2025-10-07T00:00:00Z
IGMS,95,"IGM Biosciences, Inc. Common Stock",False,2025-08-15T00:00:00Z
YMAB,94,"Y-mAbs Therapeutics, Inc. Common Stock",False,2025-09-17T00:00:00Z
SAGE,94,"Sage Therapeutics, Inc",False,2025-08-01T00:00:00Z
IVP,89,"Inspire Veterinary Partners, Inc. Class A Common Stock",False,2026-01-21T00:00:00Z
STKL,89,"SunOpta, Inc.",False,2026-05-04T00:00:00Z
WLGS,89,"Wang & Lee Group, Inc. Ordinary Shares",False,2025-08-26T00:00:00Z
MNMD,88,Mind Medicine (MindMed) Inc. Common Shares,False,2026-01-15T00:00:00Z
FGEN,87,"FibroGen, Inc",False,2026-01-08T00:00:00Z
PDCO,86,"Patterson Companies, Inc.",False,2025-04-21T00:00:00Z
VERV,85,"Verve Therapeutics, Inc. Common Stock",False,2025-07-28T00:00:00Z
CERO,85,"CERo Therapeutics Holdings, Inc. Common Stock",False,2025-10-31T00:00:00Z
DAWN,82,"Day One Biopharmaceuticals, Inc. Common Stock",False,2026-04-24T00:00:00Z
SPTN,82,SpartanNash Company,False,2025-09-23T00:00:00Z
PINC,82,"Premier, Inc. Class A",False,2025-11-26T00:00:00Z
THRD,81,"Third Harmonic Bio, Inc. Common Stock",False,2025-07-31T00:00:00Z
PLL,79,Piedmont Lithium Inc. Common Stock,False,2025-09-02T00:00:00Z
AMED,78,Amedisys Inc,False,2025-08-15T00:00:00Z
VERB,77,"Verb Technology Company, Inc. Common Stock",False,2025-09-02T00:00:00Z
MORF,76,"Morphic Holding, Inc. Common Stock",False,2024-08-19T04:00:00Z
AMRK,76,"A-Mark Precious Metals, Inc.",False,2025-12-02T00:00:00Z
MIGI,75,"Big Digital Energy, Inc. Common Stock",False,2026-04-30T00:00:00Z
AKRO,75,"Akero Therapeutics, Inc. Common Stock",False,2025-12-10T00:00:00Z
EYEN,75,"Eyenovia, Inc. Common Stock",False,2025-07-03T00:00:00Z
ODP,74,The ODP Corporation Common Stock,False,2025-12-11T00:00:00Z
BPMC,74,Blueprint Medicines Corporation,False,2025-07-21T00:00:00Z
VTYX,73,"Ventyx Biosciences, Inc. Common Stock",False,2026-03-05T00:00:00Z
LGMK,73,"LogicMark, Inc. Common Stock (NV)",False,2025-06-02T00:00:00Z
RDFN,72,Redfin Corporation Common Stock,False,2025-07-02T00:00:00Z
RDUS,72,"Radius Recycling, Inc. Class A Common Stock",False,2025-07-14T00:00:00Z
SRDX,71,"Surmodics, Inc. Common Stock",False,2025-11-20T00:00:00Z
PEGY,71,Pineapple Energy Inc. Common Stock,False,2024-11-19T05:00:00Z
ITOS,70,"iTeos Therapeutics, Inc. Common Stock",False,2025-09-02T00:00:00Z
AVTE,69,"Aerovate Therapeutics, Inc. Common Stock",False,2025-04-29T00:00:00Z
BASE,69,"Couchbase, Inc. Common Stock",False,2025-09-25T00:00:00Z
FYBR,69,"Frontier Communications Parent, Inc. Common Stock",False,2026-01-21T00:00:00Z
COMM,69,"CommScope Holding Company, Inc.",False,2026-01-14T00:00:00Z
AVDL,67,Avadel Pharmaceuticals plc Ordinary Share,False,2026-02-13T00:00:00Z
PYCR,67,"Paycor HCM, Inc. Common Stock",False,2025-04-15T00:00:00Z
DGLY,67,"Digital Ally, Inc. Common Stock",False,2026-01-08T00:00:00Z
GTI,66,Graphjet Technology Class A Ordinary Shares,False,2025-11-13T00:00:00Z
ALTR,65,Altair Engineering Inc. Class A Common Stock,False,2025-03-27T00:00:00Z
CEP,65,"Cantor Equity Partners, Inc. Class A Ordinary Shares",False,2025-12-09T00:00:00Z
JFBR,64,Jeffs' Brands Ltd Ordinary Shares,False,2026-03-31T00:00:00Z
APDN,64,"Applied DNA Sciences, Inc.",False,2025-10-07T00:00:00Z
ADD,64,"Color Star Technology Co., Ltd. Class A Ordinary Shares",False,2025-08-22T00:00:00Z
LITM,64,Snow Lake Resources Ltd. Common Shares,False,2026-03-16T00:00:00Z
CDMO,63,"Avid Bioservices, Inc. Common Stock",False,2025-02-06T00:00:00Z
ADVM,62,"Adverum Biotechnologies, Inc. Common Stock",False,2025-12-10T00:00:00Z
SISI,62,"Shineco, Inc. Common Stock",False,2025-10-07T00:00:00Z
STAI,62,ScanTech AI Systems Inc. Common stock,False,2026-02-10T00:00:00Z
RSLS,60,"ReShape Lifesciences, Inc. Common Stock",False,2025-08-15T00:00:00Z
BHAT,60,Blue Hat Interactive Entertainment Technology Ordinary Shares,False,2026-03-16T00:00:00Z
RVNC,59,"Revance Therapeutics, Inc.",False,2025-02-07T00:00:00Z
HA,59,"Hawaiian Holdings, Inc.",False,2024-09-19T04:00:00Z
GRYP,59,"Gryphon Digital Mining, Inc Common Stock",False,2025-09-05T00:00:00Z
TZUP,59,Thumzup Media Corporation Common Stock,False,2025-12-16T00:00:00Z
HEES,58,"H&E Equipment Services, Inc.",False,2025-06-03T00:00:00Z
VMEO,58,"Vimeo, Inc. Common Stock",False,2025-11-25T00:00:00Z
ZEUS,57,"Olympic Steel, Inc.",False,2026-02-17T00:00:00Z
