date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,AAOI,BUY,0,0,0.0,203.57,,203.57,203.57,2.0,0.0078125,planned,
,AAON,SELL,0,0,0.0,140.0,,140.0,140.0,2.0,0.007882254464285712,planned,
,ABSI,SELL,0,0,0.0,5.54,,5.54,5.54,2.0,6.975446428571404e-05,planned,
,ACHV,SELL,0,0,0.0,5.79,,5.79,5.79,2.0,6.975446428571404e-05,planned,
,ACLS,SELL,0,0,0.0,161.64,,161.64,161.64,2.0,6.975446428571404e-05,planned,
,ADTN,BUY,0,0,0.0,15.28,,15.28,15.28,2.0,0.0078125,planned,
,ADUR,SHORT,0,0,0.0,14.27,,14.27,14.27,2.0,0.0078125,planned,
,AEHR,SELL,0,0,0.0,106.34,,106.34,106.34,2.0,6.975446428571404e-05,planned,
,AEP,COVER,0,0,0.0,128.6,,128.6,128.6,2.0,0.007882254464285712,planned,
,AEYE,SHORT,0,0,0.0,7.16,,7.16,7.16,2.0,0.0078125,planned,
,AGPU,SELL,0,0,0.0,5.6,,5.6,5.6,2.0,6.975446428571404e-05,planned,
,AIIO,SHORT,0,0,0.0,5.64,,5.64,5.64,2.0,0.0078125,planned,
,AIP,BUY,0,0,0.0,37.34,,37.34,37.34,2.0,0.0078125,planned,
,AIRO,SHORT,0,0,0.0,6.615,,6.615,6.615,2.0,0.0078125,planned,
,AKAM,SELL,0,0,0.0,155.67,,155.67,155.67,2.0,6.975446428571404e-05,planned,
,AKAN,COVER,0,0,0.0,24.9,,24.9,24.9,2.0,6.975446428571404e-05,planned,
,ALAB,BUY,0,0,0.0,228.64,,228.64,228.64,2.0,0.0078125,planned,
,ALGT,SHORT,0,0,0.0,80.38,,80.38,80.38,2.0,0.0078125,planned,
,ALHC,COVER,0,0,0.0,16.56,,16.56,16.56,2.0,0.007882254464285712,planned,
,ALM,SELL,0,0,0.0,18.345,,18.345,18.345,2.0,0.007882254464285712,planned,
,ALMU,SHORT,0,0,0.0,26.65,,26.65,26.65,2.0,0.0078125,planned,
,AMBA,BUY,0,0,0.0,81.04,,81.04,81.04,2.0,0.0078125,planned,
,AMD,SELL,0,0,0.0,449.7,,449.7,449.7,2.0,6.975446428571404e-05,planned,
,AMPH,COVER,0,0,0.0,17.3,,17.3,17.3,2.0,0.007882254464285712,planned,
,AMSC,BUY,0,0,0.0,54.7,,54.7,54.7,2.0,0.0078125,planned,
,ANAB,SELL,0,0,0.0,62.19,,62.19,62.19,2.0,0.007882254464285712,planned,
,APLD,SELL,0,0,0.0,46.71,,46.71,46.71,2.0,6.975446428571404e-05,planned,
,APLS,COVER,0,0,0.0,,,,,2.0,0.04464285714285714,planned,
,APXT,COVER,0,0,0.0,10.01,,10.01,10.01,2.0,0.007882254464285712,planned,
,ARCB,SHORT,0,0,0.0,118.9,,118.9,118.9,2.0,0.0078125,planned,
,ARQT,COVER,0,0,0.0,21.57,,21.57,21.57,2.0,0.007882254464285712,planned,
,ASBP,SHORT,0,0,0.0,5.87,,5.87,5.87,2.0,0.0078125,planned,
,ASMB,BUY,0,0,0.0,30.3,,30.3,30.3,2.0,0.0078125,planned,
,ASPI,BUY,0,0,0.0,6.09,,6.09,6.09,2.0,0.0078125,planned,
,ASST,SELL,0,0,0.0,17.71,,17.71,17.71,2.0,0.007882254464285712,planned,
,ASTL,COVER,0,0,0.0,5.15,,5.15,5.15,2.0,0.007882254464285712,planned,
,ASYS,SELL,0,0,0.0,22.455,,22.455,22.455,2.0,0.007882254464285712,planned,
,ATEX,SELL,0,0,0.0,56.62,,56.62,56.62,2.0,0.007882254464285712,planned,
,ATOM,COVER,0,0,0.0,9.63,,9.63,9.63,2.0,0.007882254464285712,planned,
