date,ticker,residual,residual_zscore
2026-04-01,AABA,,
2026-04-01,AACB,0.010222131940850391,0.08172782176176362
2026-04-01,AACI,-0.004075231270122508,-0.20199551418521502
2026-04-01,AACO,,
2026-04-01,AACQ,,
2026-04-01,AADI,,
2026-04-01,AAGR,,
2026-04-01,AAIT,,
2026-04-01,AAL,-0.02360401021774543,-0.5895334278711657
2026-04-01,AAME,-0.02009050440591451,-0.5198098309329067
2026-04-01,AAOI,0.17304738935415226,3.3129058038859167
2026-04-01,AAON,-0.0337897444275287,-0.7916637400430644
2026-04-01,AAPC,,
2026-04-01,AAPL,0.007190091344579603,0.021558638115342442
2026-04-01,AARD,0.055499392589136304,0.9802302409920005
2026-04-01,AATC,,
2026-04-01,AAVL,,
2026-04-01,AAWW,,
2026-04-01,ABAC,,
2026-04-01,ABAT,0.004509535443664035,-0.03163552441502046
2026-04-01,ABAX,,
2026-04-01,ABCD,,
2026-04-01,ABCL,-0.006441355974712232,-0.24894996197720573
2026-04-01,ABCO,,
2026-04-01,ABCW,,
2026-04-01,ABDC,,
2026-04-01,ABEO,0.04627372781512983,0.7971519805194159
2026-04-01,ABEO.W,,
2026-04-01,ABFS,,
2026-04-01,ABGB,,
2026-04-01,ABGI,,
2026-04-01,ABIL,,
2026-04-01,ABIL.W,,
2026-04-01,ABIO,,
2026-04-01,ABL,,
2026-04-01,ABLLL,,
2026-04-01,ABLV,-0.023655574953025543,-0.5905567017780402
2026-04-01,ABMD,,
2026-04-01,ABNB,-0.0019191714172507842,-0.1592096882303541
2026-04-01,ABOS,0.05534727125342924,0.9772114764688754
2026-04-01,ABP,,
2026-04-01,ABSI,-0.03409744832327092,-0.7977699551888655
2026-04-01,ABST,,
2026-04-01,ABTC,-0.018907944136851,-0.49634257060342496
2026-04-01,ABTL,,
2026-04-01,ABTS,0.0552078715459201,0.9744451656840888
2026-04-01,ABTX,,
2026-04-01,ABUS,-0.008722769032097255,-0.29422335356436874
2026-04-01,ABVC,0.007920480294240879,0.036052806465046536
2026-04-01,ABVE,0.07195274590349576,1.3067380187535396
2026-04-01,ABY,,
2026-04-01,ACAA,,
2026-04-01,ACAB,,
2026-04-01,ACAC,,
2026-04-01,ACAD,0.001185946310166679,-0.0975903289729184
2026-04-01,ACAH,,
2026-04-01,ACAM,,
2026-04-01,ACAS,,
2026-04-01,ACAT,,
2026-04-01,ACAX,,
2026-04-01,ACB,0.030342227664718772,0.48100009274717875
2026-04-01,ACBA,,
2026-04-01,ACBI,,
2026-04-01,ACCD,,
2026-04-01,ACCL,0.041243823201982326,0.6973362805697889
2026-04-01,ACCP,,
2026-04-01,ACDC,0.017554458709959465,0.22723382734385134
2026-04-01,ACER,,
2026-04-01,ACET,0.012432784885513968,0.12559701769850734
2026-04-01,ACEV,,
2026-04-01,ACFC,,
2026-04-01,ACFN,0.046534669710114863,0.8023302293923731
2026-04-01,ACGL,0.01749920735703521,0.22613739453061604
2026-04-01,ACGL.P,,
2026-04-01,ACGLN,0.014809873449521697,0.17276903727090456
2026-04-01,ACGN,,
2026-04-01,ACHC,0.008331657623285898,0.044212395176683024
2026-04-01,ACHN,,
2026-04-01,ACHV,0.04074176354903341,0.6873731819566317
2026-04-01,ACIA,,
2026-04-01,ACIC,-0.00387533203496122,-0.19802862343645916
2026-04-01,ACIU,-0.020812768652389593,-0.5341427690013659
2026-04-01,ACIW,0.010387823781310394,0.08501588551315709
2026-04-01,ACKIT,,
2026-04-01,ACLL,,
2026-04-01,ACLS,-0.01628215198535613,-0.4442351646620449
2026-04-01,ACLX,,
2026-04-01,ACMR,-0.010218834081852196,-0.32391194442176435
2026-04-01,ACNB,0.0013972177346244798,-0.09339776336113954
2026-04-01,ACNT,-0.00019275168205874207,-0.12494983490736825
2026-04-01,ACOG,-0.0002456440498784917,-0.1259994549542617
2026-04-01,ACON,0.05765080761821243,1.0229238929646574
2026-04-01,ACOR,,
2026-04-01,ACPW,,
2026-04-01,ACQR,,
2026-04-01,ACRS,0.022836751235286185,0.33205802706644505
2026-04-01,ACRV,0.03912664088380868,0.6553219579806303
2026-04-01,ACRX,,
2026-04-01,ACSF,,
2026-04-01,ACST,,
2026-04-01,ACT,0.023375810158825748,0.3427553559236466
2026-04-01,ACTA,,
2026-04-01,ACTC,,
2026-04-01,ACTD,,
2026-04-01,ACTG,0.016146454118416358,0.19929274801009847
2026-04-01,ACTT,,
2026-04-01,ACTU,-0.0010048951032762855,-0.14106637593210689
2026-04-01,ACUR,,
2026-04-01,ACXM,,
2026-04-01,ACXP,-0.03802393654671533,-0.875688961712892
2026-04-01,ADAC,0.03307194076486574,0.5351697529511994
2026-04-01,ADAL,,
2026-04-01,ADAM,0.007524858675973809,0.028201912307071437
2026-04-01,ADAMG,0.011296462838063232,0.10304732953185376
2026-04-01,ADAMH,0.016238191811696376,0.20111323224802505
2026-04-01,ADAMI,0.01461738737728071,0.16894925667684163
2026-04-01,ADAML,0.013772469964828359,0.1521823337608253
2026-04-01,ADAMO,0.00480849395411961,-0.025702856646526124
2026-04-01,ADAMZ,0.0073258950073314365,0.024253587363060884
2026-04-01,ADAT,,
2026-04-01,ADBE,0.00984683522840888,0.07428026421897711
2026-04-01,ADD,,
2026-04-01,ADEA,-0.01185141802115216,-0.35630967781054396
2026-04-01,ADEP,,
2026-04-01,ADER,,
2026-04-01,ADES,,
2026-04-01,ADGM,0.0406672748731356,0.6858949950137568
2026-04-01,ADHD,,
2026-04-01,ADI,-0.006604644451878366,-0.25219033230141497
2026-04-01,ADIL,-0.013622297533030124,-0.3914518110316236
2026-04-01,ADMA,0.005379226241141501,-0.014376987252495367
2026-04-01,ADMP,,
2026-04-01,ADMS,,
2026-04-01,ADN,,
2026-04-01,ADNC,,
2026-04-01,ADOC,,
2026-04-01,ADOM,,
2026-04-01,ADP,0.012488841787480005,0.12670943619092212
2026-04-01,ADPT,0.029463095220725852,0.4635541912849106
2026-04-01,ADPV.V,,
2026-04-01,ADRO,,
2026-04-01,ADSE,-0.07163144253334117,-1.5426114963565851
2026-04-01,ADSK,0.003314672683532016,-0.05534692093625369
2026-04-01,ADTH,,
2026-04-01,ADTN,-0.007276636763376629,-0.26552565137638123
2026-04-01,ADTX,-0.09909219297706984,-2.0875550365418523
2026-04-01,ADUR,-0.00793634310835968,-0.2786171621802984
2026-04-01,ADUS,-0.02356758200558069,-0.5888105299685626
2026-04-01,ADV,0.11609949711305363,2.182806097851094
2026-04-01,ADVB,0.008999981262303404,0.05747491145721948
2026-04-01,ADVM,,
2026-04-01,ADVS,,
2026-04-01,ADXS,,
2026-04-01,ADXS.W,,
2026-04-01,ADYX,,
2026-04-01,AEAC,,
2026-04-01,AEAE,,
2026-04-01,AEAQ,,
2026-04-01,AEBI,0.0146628757352265,0.1698519482062297
2026-04-01,AEBIV,,
2026-04-01,AEC,-0.041796527277737534,-0.9505539568573663
2026-04-01,AEGN,,
2026-04-01,AEGR,,
2026-04-01,AEHA,,
2026-04-01,AEHL,-0.11159073638158278,-2.3355817794369997
2026-04-01,AEHR,0.1018097405707056,1.899233712073447
2026-04-01,AEI,0.006001338958691368,-0.0020315013783711827
2026-04-01,AEIS,-0.016515125554976966,-0.44885839744874284
2026-04-01,AEMD,-0.029015937206672164,-0.6969301524659026
2026-04-01,AENT,0.00811464285090012,0.039905855973439444
2026-04-01,AEP,0.00988695379967541,0.07507639527511692
2026-04-01,AEPI,,
2026-04-01,AEPPL,,
2026-04-01,AEPPZ,,
2026-04-01,AERC,,
2026-04-01,AERG,,
2026-04-01,AERI,,
2026-04-01,AERT,0.2220168042119357,4.2846769995815475
2026-04-01,AETI,,
2026-04-01,AEVA,-0.02201477272708838,-0.5579958809957275
2026-04-01,AEY,,
2026-04-01,AEYE,-0.03665474538723715,-0.8485181136632238
2026-04-01,AEZS,,
2026-04-01,AFAC,,
2026-04-01,AFAM,,
