submitted_at,ticker,paper_side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason,company_name,final_close_model_side,target_weight,current_weight,order_weight_delta,estimated_order_value,alpha_score,net_alpha_after_cost_bps,alpha_rank,quantile_bucket,top_positive_factor_contributors,top_negative_factor_contributors,residual_score,outlier_flag,price_flag,liquidity_flag,risk_flag,signal_price,reason_text,final_close_target_direction,final_close_has_nonzero_target,paper_signed_notional
2026-05-14T17:13:00.563471+00:00,DGXX,BUY,549,8.68,4765.32,False,Cancelled,1412,,1.0,2.0,0.4765319999999999,0.953064,1.429596,True,,Digi Power X Inc. Subordinate Voting Shares,SELL,0.0044573102678571,0.0044642857142857,-6.975446428571404e-06,-0.6975446428571404,0.0135232208750632,132.23220875063222,1.0,5.0,intraday_return;close_to_low_20;mom_21,parkinson_vol_20;volume_z_60;mom_10,,False,True,True,True,7.22,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 132.23 bps versus threshold 5.00 bps. Main contributors were intraday_return, close_to_low_20, mom_21. Price filter passed; liquidity filter passed.",LONG,True,4765.32
2026-05-14T17:13:00.563471+00:00,WYFI,BUY,68,30.16,2050.88,False,Cancelled,2423,,1.0,2.0,0.205088,0.410176,0.615264,True,,"WhiteFiber, Inc. Ordinary Shares",SHORT,-0.00078125,0.0,-0.00078125,-78.125,-0.0035810266882561,32.81026688256128,7234.0,1.0,mom_5;close_to_low_20;mom_21,intraday_return;volume_z_60;mom_10,,False,True,True,True,29.99,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 32.81 bps versus threshold 5.00 bps. Main contributors were intraday_return, volume_z_60, mom_10. Price filter passed; liquidity filter passed.",SHORT,True,2050.88
2026-05-14T17:13:00.563471+00:00,HTCO,SELL,637,7.46,4752.02,False,Inactive,1610,,1.0,2.0,0.4752019999999999,0.950404,1.425606,True,,High-Trend International Group Class A Ordinary Shares,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0180840335457354,177.8403354573547,7535.0,1.0,intraday_return;hl_range_20;volatility_20,parkinson_vol_20;overnight_return;volatility_10,,False,True,True,True,7.22,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 177.84 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, overnight_return, volatility_10. Price filter passed; liquidity filter passed.",SHORT,True,-4752.02
2026-05-14T17:13:00.563471+00:00,KXIN,SELL,693,5.74,3977.82,False,Inactive,1712,,1.0,2.0,0.397782,0.795564,1.193346,True,,Kaixin Holdings Ordinary Shares,COVER,-0.0036760602678571,-0.0044642857142857,0.0007882254464285,78.82254464285712,0.0014833241569414,-17.833241569414653,1080.0,4.0,mom_5;mom_126;hl_range_20,dist_52w_high;volatility_10;mom_63,,False,True,True,True,5.66,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is -17.83 bps versus threshold 5.00 bps. Main contributors were dist_52w_high, volatility_10, mom_63. Price filter passed; liquidity filter passed.",SHORT,True,-3977.82
2026-05-14T17:13:00.563471+00:00,PHOE,SELL,282,14.08,3970.56,False,Inactive,1997,,1.0,2.0,0.397056,0.794112,1.191168,True,,Phoenix Asia Holdings Limited Ordinary Shares,COVER,-0.0036760602678571,-0.0044642857142857,0.0007882254464285,78.82254464285712,-0.0232875687931627,229.87568793162717,7552.0,1.0,hl_range_20;volatility_20;intraday_return,parkinson_vol_20;volatility_10;mom_5,,False,True,False,True,14.18,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 229.88 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, volatility_10, mom_5. Price filter passed; liquidity filter failed.",SHORT,True,-3970.56
2026-05-14T17:13:00.563471+00:00,PSIG,SELL,107,7.24,774.6800000000001,False,Inactive,2048,,1.0,2.0,0.077468,0.154936,0.232404,True,,PS International Group Ltd. Ordinary Shares,,0.0,0.0,0.0,0.0,-0.0015439803465125,-18.4398034651254,6926.0,1.0,parkinson_vol_20;mom_252;volume_z_20,volume_z_60;mom_126;hl_range_20,,False,True,True,True,7.15,,FLAT,False,-774.6800000000001
2026-05-14T17:13:00.563471+00:00,SMX,SELL,433,10.98,4754.34,False,Inactive,2198,,1.0,2.0,0.475434,0.950868,1.4263020000000002,True,,SMX (Security Matters) Public Limited Company Ordinary Shares,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0406971582972591,403.9715829725918,7580.0,1.0,hl_range_20;volatility_20;close_to_high_20,parkinson_vol_20;intraday_return;mom_5,,False,True,True,True,9.65,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 403.97 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, intraday_return, mom_5. Price filter passed; liquidity filter passed.",SHORT,True,-4754.34
2026-05-14T17:13:00.563471+00:00,STFS,SELL,459,10.36,4755.24,False,Inactive,2225,,1.0,2.0,0.475524,0.951048,1.426572,True,,Star Fashion Culture Holdings Limited Class A Ordinary Shares,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0192705041223994,189.70504122399475,7540.0,1.0,close_to_low_20;mom_5;hl_range_20,parkinson_vol_20;mom_10;volatility_10,,False,True,True,True,10.81,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 189.71 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, mom_10, volatility_10. Price filter passed; liquidity filter passed.",SHORT,True,-4755.24
2026-05-14T17:13:00.563471+00:00,ERNA,SELL,465,10.21,4747.650000000001,False,PreSubmitted,1454,,1.0,2.0,0.474765,0.94953,1.424295,True,,Ernexa Therapeutics Inc. Common Stock,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0040063778231221,37.0637782312216,7270.0,1.0,intraday_return;hl_range_20;close_to_low_20,parkinson_vol_20;mom_10;volatility_10,,False,True,True,True,9.56,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 37.06 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, mom_10, volatility_10. Price filter passed; liquidity filter passed.",SHORT,True,-4747.650000000001
2026-05-14T17:13:00.563471+00:00,IPST,SELL,101,7.65,772.6500000000001,False,PreSubmitted,1664,,1.0,2.0,0.077265,0.15453,0.231795,True,,"IP Strategy Holdings, Inc. Common Stock",SHORT,-0.00078125,0.0,-0.00078125,-78.125,-0.0139073977032508,136.07397703250882,7513.0,1.0,hl_range_20;mom_5;mom_1,parkinson_vol_20;intraday_return;overnight_return,,False,True,True,True,8.06,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 136.07 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, intraday_return, overnight_return. Price filter passed; liquidity filter passed.",SHORT,True,-772.6500000000001
2026-05-14T17:13:00.563471+00:00,ZVRA,SELL,65,11.85,770.25,False,PreSubmitted,2450,,1.0,2.0,0.077025,0.15405,0.2310749999999999,True,,"Zevra Therapeutics, Inc. Common Stock",,0.0,0.0,0.0,0.0,0.0002441985460257,-0.5580145397428704,1851.0,3.0,parkinson_vol_20;volume_z_20;mom_5,intraday_return;volume_z_60;mom_10,,False,True,True,True,11.66,,FLAT,False,-770.25
